epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6869,3.19831,9.38712,2.14623,0,0,0,0,3.43057,12.9186,3.29483,0,0,0
2,115.064,2.96624,9.14482,2.00257,0,0,0,0,3.11416,11.1017,3.0404,1.6505e-05,1.6505e-05,1.6505e-05
3,156.769,2.9355,6.60848,2.2284,0,0,0,0,2.44716,8.92288,2.61393,3.26799e-05,3.26799e-05,3.26799e-05
4,198.953,2.65036,6.76494,1.8727,0,0,0,0,1.92131,7.70531,2.15852,4.85247e-05,4.85247e-05,4.85247e-05
5,246.185,2.33359,6.43386,1.8551,0.00059,0.5,0.00066,0.00053,1.73028,7.5009,1.84051,6.40395e-05,6.40395e-05,6.40395e-05
6,287.762,1.77047,4.71718,1.52419,0.00599,0.75,0.37375,0.27387,1.48774,8.52698,1.40995,7.92242e-05,7.92242e-05,7.92242e-05
7,330.018,1.96868,3.66512,1.50639,0.65796,0.75,0.74562,0.47244,1.72583,7.4548,1.40549,9.40788e-05,9.40788e-05,9.40788e-05
8,372.715,1.73059,4.17229,1.42828,0.79819,0.75,0.74565,0.36483,1.62208,8.45395,1.45883,0.000108603,0.000108603,0.000108603
9,413.621,1.80293,3.33339,1.34478,0.67143,0.75,0.74617,0.33172,1.7258,7.19908,1.47891,0.000122798,0.000122798,0.000122798
10,456.781,1.76563,3.33765,1.24832,0.73687,0.79342,0.995,0.43321,1.99207,4.1296,1.57791,0.000136662,0.000136662,0.000136662
11,496.595,1.90149,2.8029,1.30699,0.57782,1,0.995,0.51666,1.75863,3.74995,1.38286,0.000150197,0.000150197,0.000150197
12,539.183,1.97108,2.89121,1.22882,0.39741,1,0.995,0.50249,1.75025,3.74225,1.33085,0.000163401,0.000163401,0.000163401
13,581.168,1.49457,2.15823,1.12853,0.46941,0.75181,0.8075,0.6014,1.56477,3.36224,1.18867,0.000176275,0.000176275,0.000176275
14,621.086,1.54748,2.0424,1.07527,0.63685,0.75,0.795,0.54603,1.52769,3.18329,1.1504,0.000188819,0.000188819,0.000188819
15,660.764,1.30093,1.95504,1.0486,0.91886,0.97037,0.995,0.57803,1.60426,2.79285,1.13857,0.000201034,0.000201034,0.000201034
16,701.842,1.44525,1.56262,1.07884,0.51099,0.84088,0.74625,0.40453,1.63542,2.42564,1.16674,0.000212918,0.000212918,0.000212918
17,742.88,1.49874,1.73384,1.16107,0.45554,1,0.62187,0.27764,1.87011,2.44149,1.29258,0.000224472,0.000224472,0.000224472
18,783.758,1.53106,1.59715,1.09089,0.45554,1,0.62187,0.27764,1.87011,2.44149,1.29258,0.000235695,0.000235695,0.000235695
19,825.755,1.11169,1.55708,0.99353,0.52202,1,0.74625,0.26007,2.22303,2.49772,1.3808,0.000246589,0.000246589,0.000246589
20,868.235,1.26471,1.37895,0.95716,0.52202,1,0.74625,0.26007,2.22303,2.49772,1.3808,0.000257153,0.000257153,0.000257153
21,911.319,1.42302,1.42366,1.06232,0.97624,0.5,0.53304,0.13359,2.02493,5.07701,1.25509,0.000267387,0.000267387,0.000267387
22,954.099,1.2599,1.32792,0.97862,0.97624,0.5,0.53304,0.13359,2.02493,5.07701,1.25509,0.00027729,0.00027729,0.00027729
23,996.998,1.20799,1.4583,1.01247,0.48432,0.5,0.52368,0.13287,2.01305,7.33177,1.21446,0.000286864,0.000286864,0.000286864
24,1038.83,1.09505,1.05929,1.02521,0.48432,0.5,0.52368,0.13287,2.01305,7.33177,1.21446,0.000296108,0.000296108,0.000296108
25,1081.43,1.32689,1.27067,1.03976,0.42668,1,0.66333,0.27429,1.7646,6.54564,1.17538,0.000305021,0.000305021,0.000305021
26,1123.81,0.97679,1.09079,0.96526,0.42668,1,0.66333,0.27429,1.7646,6.54564,1.17538,0.000313604,0.000313604,0.000313604
27,1165.68,1.13704,1.09153,0.96579,0.79541,1,0.995,0.56169,1.81637,9.48036,1.18598,0.000321858,0.000321858,0.000321858
28,1206.54,1.38649,1.11519,1.07555,0.79541,1,0.995,0.56169,1.81637,9.48036,1.18598,0.000329781,0.000329781,0.000329781
29,1248.57,1.22429,1.05932,0.91775,0.65186,0.75,0.81643,0.51839,2.06272,10.1264,1.30458,0.000337374,0.000337374,0.000337374
30,1292.84,1.0221,1.05958,1.01663,0.65186,0.75,0.81643,0.51839,2.06272,10.1264,1.30458,0.000344637,0.000344637,0.000344637
31,1337.73,0.97424,1.11829,0.97036,0.63995,0.75,0.87,0.53444,2.02041,10.242,1.34018,0.00035157,0.00035157,0.00035157
32,1380.17,1.37021,1.27519,0.97424,0.63995,0.75,0.87,0.53444,2.02041,10.242,1.34018,0.000358173,0.000358173,0.000358173
33,1425.18,1.27688,1.05195,1.03211,0.50871,1,0.66333,0.31939,1.65632,24.9759,1.14685,0.000364446,0.000364446,0.000364446
34,1469.58,1.22483,0.90861,1.03269,0.50871,1,0.66333,0.31939,1.65632,24.9759,1.14685,0.000370389,0.000370389,0.000370389
35,1513.3,0.89893,0.80034,0.95683,0.50449,1,0.995,0.62179,1.64845,30.7604,1.11465,0.000376002,0.000376002,0.000376002
36,1555.73,1.06312,0.8073,0.95032,0.50449,1,0.995,0.62179,1.64845,30.7604,1.11465,0.000381285,0.000381285,0.000381285
37,1596.45,1.06054,0.97222,1.08031,0.52073,1,0.995,0.5348,1.87842,19.0061,1.17036,0.000386237,0.000386237,0.000386237
38,1642.25,1.18849,1.07858,0.92952,0.52073,1,0.995,0.5348,1.87842,19.0061,1.17036,0.00039086,0.00039086,0.00039086
39,1686.11,1.10388,0.9516,0.99926,0.56994,1,0.597,0.30833,1.90079,10.6333,1.2165,0.000395152,0.000395152,0.000395152
40,1729.94,1.08541,0.86779,1.00483,0.56994,1,0.597,0.30833,1.90079,10.6333,1.2165,0.000399115,0.000399115,0.000399115
41,1774.39,1.03498,0.7711,0.9386,0.47233,1,0.5174,0.21491,2.00057,18.4409,1.16185,0.000402747,0.000402747,0.000402747
42,1816.25,0.93752,0.99049,0.94588,0.47233,1,0.5174,0.21491,2.00057,18.4409,1.16185,0.00040605,0.00040605,0.00040605
43,1858.04,0.96795,1.02005,0.96893,0.48761,0.5,0.50579,0.15974,1.90186,7.38304,1.31848,0.000409022,0.000409022,0.000409022
44,1901.97,1.1516,0.8634,0.96869,0.48761,0.5,0.50579,0.15974,1.90186,7.38304,1.31848,0.000411664,0.000411664,0.000411664
45,1943.24,1.27968,0.89761,1.11616,0.5,0.47698,0.50786,0.20533,1.77543,3.59197,1.24617,0.000413976,0.000413976,0.000413976
46,1985.63,0.96805,0.9209,0.92697,0.5,0.47698,0.50786,0.20533,1.77543,3.59197,1.24617,0.000415958,0.000415958,0.000415958
47,2032.55,1.04009,0.84784,0.94038,0.5,0.47501,0.55969,0.29294,1.55699,1.8611,1.09686,0.00041761,0.00041761,0.00041761
48,2074.23,1.10036,0.74988,0.96614,0.5,0.47501,0.55969,0.29294,1.55699,1.8611,1.09686,0.000418932,0.000418932,0.000418932
49,2118.87,1.17371,0.80345,0.97509,0.62417,0.8833,0.66333,0.33223,1.75987,2.45394,1.17553,0.000419924,0.000419924,0.000419924
50,2163.29,1.29663,0.93453,1.04415,0.62417,0.8833,0.66333,0.33223,1.75987,2.45394,1.17553,0.000420586,0.000420586,0.000420586
51,2205.14,0.88746,0.75418,0.90653,0.47741,0.25,0.26329,0.15519,2.05353,11.4997,1.34449,0.000420918,0.000420918,0.000420918
52,2246.63,1.04548,0.7144,0.95153,0.47741,0.25,0.26329,0.15519,2.05353,11.4997,1.34449,0.000420919,0.000420919,0.000420919
53,2288.97,1.03369,0.93138,1.00923,0.47741,0.25,0.26329,0.15519,2.05353,11.4997,1.34449,0.000420591,0.000420591,0.000420591
54,2330.14,0.87202,0.77295,1.01441,0.48903,0.83173,0.50342,0.20453,1.88983,22.9219,1.35632,0.000419932,0.000419932,0.000419932
55,2369.77,1.07853,0.82271,0.97392,0.48903,0.83173,0.50342,0.20453,1.88983,22.9219,1.35632,0.000418944,0.000418944,0.000418944
56,2410.36,1.09058,0.82223,0.96114,0.48903,0.83173,0.50342,0.20453,1.88983,22.9219,1.35632,0.000417625,0.000417625,0.000417625
57,2451.87,0.87168,0.82864,0.87674,0.50209,1,0.51408,0.21254,1.87804,11.1598,1.30655,0.000415977,0.000415977,0.000415977
58,2495.99,0.89909,0.65649,0.89728,0.50209,1,0.51408,0.21254,1.87804,11.1598,1.30655,0.000413998,0.000413998,0.000413998
59,2534.64,0.85437,0.67587,0.88484,0.50209,1,0.51408,0.21254,1.87804,11.1598,1.30655,0.000411689,0.000411689,0.000411689
60,2572.35,0.85004,0.6033,0.93027,0.50197,1,0.51305,0.21183,1.93382,16.8173,1.31305,0.00040905,0.00040905,0.00040905
61,2613.94,0.90916,0.70054,0.8768,0.50197,1,0.51305,0.21183,1.93382,16.8173,1.31305,0.000406081,0.000406081,0.000406081
62,2653.53,0.93024,0.67425,0.95345,0.50197,1,0.51305,0.21183,1.93382,16.8173,1.31305,0.000402782,0.000402782,0.000402782
63,2696.84,0.99907,0.61399,0.96681,0.49298,1,0.50228,0.18021,2.14723,56.1539,1.3947,0.000399153,0.000399153,0.000399153
64,2735.59,0.95594,0.7637,0.95417,0.49298,1,0.50228,0.18021,2.14723,56.1539,1.3947,0.000395194,0.000395194,0.000395194
65,2774.85,1.02647,0.63283,0.961,0.49298,1,0.50228,0.18021,2.14723,56.1539,1.3947,0.000390905,0.000390905,0.000390905
66,2814.69,1.01564,0.76246,0.98238,0.40068,0.75,0.25741,0.15527,2.16752,75.6604,1.44396,0.000386286,0.000386286,0.000386286
67,2852.55,0.97005,0.61446,0.92565,0.40068,0.75,0.25741,0.15527,2.16752,75.6604,1.44396,0.000381336,0.000381336,0.000381336
68,2890.08,0.87755,0.78553,0.96028,0.40068,0.75,0.25741,0.15527,2.16752,75.6604,1.44396,0.000376057,0.000376057,0.000376057
69,2930.06,1.04153,0.87546,0.99995,0.41754,0.75,0.26114,0.15791,2.1643,52.4093,1.46416,0.000370447,0.000370447,0.000370447
70,2963.8,0.90243,0.55697,0.94684,0.41754,0.75,0.26114,0.15791,2.1643,52.4093,1.46416,0.000364508,0.000364508,0.000364508
71,3003.85,0.83909,0.54857,0.89,0.41754,0.75,0.26114,0.15791,2.1643,52.4093,1.46416,0.000358238,0.000358238,0.000358238
72,3045.02,0.97138,0.57695,0.91717,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000351639,0.000351639,0.000351639
73,3086.65,0.89666,0.58752,0.9446,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000344709,0.000344709,0.000344709
74,3124.25,0.81745,0.6697,0.9666,0.49843,1,0.50881,0.22964,2.20396,30.9568,1.48444,0.000337449,0.000337449,0.000337449
75,3160.6,0.81538,0.61779,0.94908,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000329859,0.000329859,0.000329859
76,3199.49,0.77858,0.58849,0.83798,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000321939,0.000321939,0.000321939
77,3238.71,0.69718,0.49845,0.86797,0.63468,1,0.74625,0.32378,2.12123,4.65056,1.44896,0.000313689,0.000313689,0.000313689
78,3278.18,0.69707,0.54561,0.98037,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000305109,0.000305109,0.000305109
79,3317.78,0.70564,0.60023,0.94444,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000296199,0.000296199,0.000296199
80,3357.4,0.79699,0.5983,0.94703,0.79489,0.93692,0.995,0.67156,1.96112,2.18132,1.29811,0.000286959,0.000286959,0.000286959
81,3400.09,0.68234,0.52925,0.88372,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000277389,0.000277389,0.000277389
82,3436.35,0.75909,0.52467,0.95974,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000267488,0.000267488,0.000267488
83,3480.29,0.70981,0.51849,0.86615,0.83256,0.97094,0.995,0.72128,1.85468,1.59913,1.19803,0.000257258,0.000257258,0.000257258
84,3520.15,0.66143,0.62987,0.89499,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000246698,0.000246698,0.000246698
85,3563.76,0.78461,0.51415,0.92024,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000235807,0.000235807,0.000235807
86,3603.95,0.75103,0.50098,0.85244,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000224587,0.000224587,0.000224587
87,3643.22,0.86402,0.62276,0.8701,0.89817,1,0.995,0.69634,1.7584,1.51395,1.16038,0.000213036,0.000213036,0.000213036
88,49.4828,0.72523,0.56393,0.89908,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000201155,0.000201155,0.000201155
89,139.191,0.8087,0.63108,0.90438,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000188944,0.000188944,0.000188944
90,204.009,0.73501,0.57433,0.88685,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000176404,0.000176404,0.000176404
91,250.928,0.80118,0.65262,0.93447,0,0,0,0,5.3424,1.98896e+09,19679.5,0.000163533,0.000163533,0.000163533
92,307.369,0.81314,0.71087,0.92733,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000150332,0.000150332,0.000150332
93,363.535,0.75596,0.5711,0.78708,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000136801,0.000136801,0.000136801
94,410.219,0.73454,0.62362,0.88749,0,0,0,0,4.72158,2.04021e+06,1622.29,0.00012294,0.00012294,0.00012294
95,446.904,0.7584,0.71999,0.85919,0,0,0,0,4.72158,2.04021e+06,1622.29,0.000108748,0.000108748,0.000108748
96,480.114,0.71225,0.57304,0.91574,0,0,0,0,2.82918,29325.2,2.93545,9.42272e-05,9.42272e-05,9.42272e-05
97,513.539,0.74617,0.63864,0.81102,0,0,0,0,2.82918,29325.2,2.93545,7.93759e-05,7.93759e-05,7.93759e-05
98,551.96,0.68491,0.63531,0.91697,0,0,0,0,2.82918,29325.2,2.93545,6.41945e-05,6.41945e-05,6.41945e-05
99,43.8011,0.91626,0.63805,0.98558,0,0,0,0,1.2942,638106,2.22761,4.86831e-05,4.86831e-05,4.86831e-05
100,89.4104,0.75032,0.60186,0.85774,0,0,0,0,1.2942,638106,2.22761,3.28416e-05,3.28416e-05,3.28416e-05
